frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
47,6.0,[560.5739591543402 580.2978329693287 854.4691878389579 812.5899009622669],[662.187744140625 720.8496704101562 744.2576293945312 762.6658325195312],0.5605546236038208,GX15OGJ,0.36597037224088586
49,6.0,[557.8588918387547 584.0485090802863 852.6276934576481 818.5116937052655],[661.5260620117188 722.807373046875 747.9566040039062 767.4735717773438],0.5148823857307434,GX15OGJ,0.40824905688145324
50,6.0,[557.6546559646323 585.8186079949154 855.3619417391375 821.8485695699193],[662.8414916992188 726.4427490234375 748.9343872070312 769.8436889648438],0.4861989915370941,GX15OGJ,0.361748589303822
51,6.0,[553.8373071148728 588.3878175589061 853.2387911985843 826.0224849811491],[660.7245483398438 733.0230712890625 746.8925170898438 776.2073974609375],0.4253551661968231,GX15OGJ,0.3122943403338507
53,6.0,[553.5773546384847 591.1666144235045 853.8014592214585 831.610175615927],[654.8583984375 732.9825439453125 742.6331176757812 778.1341552734375],0.4478856921195984,GX15OGJ,0.2739407724042559
54,6.0,[552.5125118985584 592.4969730951207 853.7530407248905 834.2166635799324],[652.9275512695312 732.802001953125 741.1495971679688 780.9561767578125],0.5069220662117004,GX15OGJ,0.39830397792366284
55,6.0,[550.5852233216265 593.4361299348001 852.9875806648618 835.9969343662052],[648.0450439453125 733.7789306640625 739.0030517578125 781.9874877929688],0.4876653254032135,GX15OGJ,0.33945445665699864
56,6.0,[547.5281983044422 595.125971713754 852.3838156007835 838.5612171418012],[654.5479125976562 739.4454345703125 738.6643676757812 782.533447265625],0.4897386431694031,GX15OGJ,0.3572372888200602
57,6.0,[545.507791949246 597.655406162935 852.3105632891161 840.6634654862336],[656.1846923828125 743.1767578125 740.8460693359375 787.341796875],0.5709983110427856,GX15OGJ,0.31548001322578617
58,6.0,[546.2947517211574 599.4821354163859 854.7397164143376 842.2308996362209],[654.362060546875 744.1078491210938 742.5923461914062 788.2033081054688],0.5802632570266724,GX15OGJ,0.27204986894054883
59,6.0,[544.2316546451125 602.2665778146512 854.6283141779452 845.2994594460309],[649.4552001953125 745.2286376953125 743.0037841796875 791.2086181640625],0.5087133646011353,GX15OGJ,0.2762120990791628
60,5.0,[1124.4100027784743 731.5956709513646 1480.4377972904872 1075.151089775554],[1248.93896484375 981.70166015625 1353.324462890625 1030.2681884765625],0.6160410642623901,MI51VSU,0.3300797922433941
61,5.0,[1125.962956354152 733.9113695060789 1481.7987567036134 1074.9784003373347],[1249.4783935546875 982.7144165039062 1354.3128662109375 1032.2205810546875],0.6096264123916626,WI51VSU,0.6306705705409452
61,6.0,[540.552624226332 606.9303079114065 852.2434178837209 850.6262687044907],[652.7105102539062 752.8443603515625 744.170654296875 795.0589599609375],0.483837366104126,GX15OGJ,0.34888486457944046
62,5.0,[1124.5003926215095 737.3170522425203 1481.6703707627616 1075.953625309504],[1249.60546875 987.4312744140625 1358.2540283203125 1039.960205078125],0.6441823840141296,MI51VSU,0.2925268983778015
62,6.0,[538.1903571031928 609.1624135044119 848.9549912370148 853.4107661894182],[644.3948364257812 756.6568603515625 740.9935913085938 801.8921508789062],0.4946214258670807,GX15OGJ,0.2985986970711268
63,5.0,[1125.4173959252278 741.8830126812633 1481.6663708566641 1076.122430868098],[1251.66015625 993.799072265625 1360.7032470703125 1046.8023681640625],0.6313661932945251,MY51USU,0.08520686005509254
65,6.0,[538.4246336412507 617.2150901184866 848.0747043097292 861.0009581396091],[643.1781005859375 760.3085327148438 730.9671020507812 806.4954223632812],0.5312157273292542,GX15OGJ,0.39381779187543403
66,6.0,[536.6590549747576 619.0552362141406 847.5501559189532 863.3641286890171],[639.3832397460938 766.0205078125 738.1979370117188 812.5091552734375],0.5389029383659363,GX15OGJ,0.3386386531570279
67,5.0,[1130.5848671743597 751.4531488986577 1485.6757332844918 1075.62144389092],[1258.7886962890625 1009.7105712890625 1363.8377685546875 1059.7734375],0.6236633062362671,NI51VSU,0.42555141395737656
67,6.0,[535.4300416362503 619.7071107955653 846.579021979205 864.1373629330078],[645.1146240234375 767.7896118164062 739.4837036132812 811.55419921875],0.5478001832962036,GX15OGJ,0.39903546721709193
68,6.0,[533.8769493043658 622.3238524151141 846.655439406974 867.8127187842897],[639.8221435546875 769.119873046875 738.8992919921875 814.8665771484375],0.5443573594093323,GX15OGJ,0.3866853714096472
